"k","a","c","b","PageRank"
2,"鼓楼大街站",0.094960433152853,3176.04329004329,0.00666554186560929
2,"安定门站",0.0942538238941711,2049.93116883117,0.00646400902197275
2,"雍和宫站",0.094020618556701,2560.74848484849,0.00974648916073859
5,"东直门站",0.0948024948024948,4410.0382034632,0.00813339827131934
3,"东四十条站",0.0936344969199179,3346.29931457431,0.00425499270151557
5,"朝阳门站",0.0971039182282794,5708.18026695527,0.0074578917341191
3,"北京站",0.0932515337423313,1242.45847763348,0.00380159891826074
5,"崇文门站",0.0935960591133005,4007.12254689754,0.0069051597549069
3,"前门站",0.0930612244897959,2085.37503607504,0.00373299133204028
3,"和平门站",0.0934809348093481,2091.69725829726,0.00397134106843909
5,"宣武门站",0.0945665698880133,3708.47705627705,0.00712522262514086
3,"长椿街站",0.0941370767960363,1135.07842712843,0.00382651805188972
3,"阜成门站",0.0977282468924132,2374.4386002886,0.00389528843286438
5,"车公庄站",0.0998685939553219,4013.10093795094,0.00690559473449345
7,"安河桥北站",0.0552325581395349,0,0.000798298436204846
7,"北宫门站",0.0584465521661113,227,0.00147685210697897
7,"西苑站",0.0620239390642002,452,0.00205362272713697
7,"圆明园站",0.0660295395308427,675,0.00254387775427127
8,"北京大学东门站",0.0705445544554455,896,0.00296059452733543
8,"中关村站",0.075672087620312,1115,0.00331480378443996
8,"人民大学站",0.0809946714031972,407.8,0.00379266058280612
8,"魏公村站",0.0840398083302617,524.833333333333,0.00402205993159005
3,"国家图书馆站",0.0899408284023669,3550.21666666667,0.00421704937805639
3,"动物园站",0.0940594059405941,3225.88333333333,0.00259054442187881
3,"新街口站",0.0963244613434728,797.579004329004,0.00247992114067729
2,"平安里站",0.0981489453293155,2706.35800865801,0.00584110916794025
8,"西四站",0.09375,218.583333333333,0.00328076983257945
8,"灵境胡同站",0.0928338762214984,195.833333333333,0.00358695279389738
3,"菜市口站",0.0886125145744267,2557.06666666667,0.00382651805188971
3,"陶然亭站",0.0839469808541973,2416.66666666667,0.00405083878031111
1,"北京南站",0.0807651434643996,2296.73333333333,0.00424151139946929
1,"马家堡站",0.0779753761969904,2199.4,0.00440358312575373
1,"刘家窑站",0.076845298281092,2079.22456709957,0.0021645773783628
1,"蒲黄榆站",0.0795811518324607,2176.5579004329,0.00263818920781323
3,"天坛东门站",0.0831509846827133,2299.89123376623,0.0030407592628461
3,"磁器口站",0.0877260484801847,2443.22456709956,0.00338294380962403
8,"灯市口站",0.0950792326939116,742.56424963925,0.00389698538254266
2,"东四站",0.0976863753213368,2899.71186868687,0.00715964588617889
8,"张自忠路站",0.0917874396135266,300.537193362193,0.00384114793783087
8,"北新桥站",0.0911270983213429,267.787193362193,0.00406327418336109
8,"和平里北街站",0.088681446907818,788.190548340549,0.00494055632951875
